City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
590,Saint Pete Beach,77.16,overcast clouds,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
592,Noumea,82.38,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
594,Mana,78.3,few clouds,5.6592,-53.7767,LE SAMANA
595,Cootamundra,77.95,overcast clouds,-34.65,148.0333,Cootamundra Gardens Motel & indian restaurant
602,Kantang,77.09,few clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
604,Bowen,89.82,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
608,Cacheu,79.2,overcast clouds,12.2706,-16.1658,
610,Morros,80.2,clear sky,-9.4467,-46.3003,
611,Loandjili,77.11,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
617,Mandiana,76.37,light rain,10.6333,-8.6833,Motels rouzo
619,Hurghada,75.15,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
621,Ciudad Bolivar,76.41,overcast clouds,8.1222,-63.5497,Hotel Edi
623,Pocone,80.1,broken clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
624,Palimbang,85.62,overcast clouds,6.2106,124.1894,Felmar Beach resort
625,Catuday,81.18,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
626,Kokoda,89.62,scattered clouds,-8.8785,147.7407,Daito Guest House
628,Regeneracao,86.54,overcast clouds,-6.2378,-42.6883,Hotel KANAYRA
629,Nileshwar,76.96,overcast clouds,12.25,75.1,Neeleshwar Hermitage
632,Maceio,76.44,few clouds,-9.6658,-35.7353,Poutur Pousada
633,Dicabisagan,78.71,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
635,Mahibadhoo,80.67,overcast clouds,3.7833,72.9667,Omadhoo Inn
638,Bosaso,77.23,clear sky,11.2842,49.1816,Red Sea Hotel
651,Bambanglipuro,81.97,overcast clouds,-7.95,110.2833,Puri Brata
653,Ballina,88.79,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
657,Bubaque,81.86,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
660,Hervey Bay,84.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
661,Road Town,82.49,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
662,Olinda,78.53,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
663,Makakilo City,82.15,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
667,Itanhaem,77.25,heavy intensity rain,-24.1831,-46.7889,Prainha Residência Artística
673,Banning,77.67,clear sky,33.9256,-116.8764,"Holiday Inn Express & Suites Banning, an IHG Hotel"
676,Nicoya,76.55,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
687,Kroya,82.9,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
691,Lucea,80.46,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
694,Kattivakkam,80.69,overcast clouds,13.2167,80.3167,Euronova Freezer
695,Port Hedland,89.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
698,Sorong,83.44,few clouds,-0.8833,131.25,waigo splash hotel
703,Auki,85.87,overcast clouds,-8.7676,160.7034,Auki Motel
708,Ratnagiri,75.61,scattered clouds,16.9833,73.3,Hotel Landmark
713,Les Cayes,77.88,overcast clouds,18.2,-73.75,Villa Orphee
