City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Butaritari,3.0707,172.7902,80.96,75,100,8.39,light rain
116,Pevek,69.7008,170.3133,9.09,90,100,9.01,overcast clouds
117,Coromandel,-18.4733,-47.2003,73.67,62,45,7.54,scattered clouds
118,Kaka,37.3482,59.6143,47.44,68,100,4.5,overcast clouds
119,Vicuna,-30.0319,-70.7081,47.93,52,1,1.07,clear sky
120,Mormugao,15.4,73.8,72.66,68,20,8.05,few clouds
121,Bara,10.3744,10.7288,78.21,43,51,0.2,broken clouds
122,Maragogi,-9.0122,-35.2225,76.55,80,0,9.24,clear sky
123,Ulladulla,-35.35,150.4667,81.88,35,83,5.19,broken clouds
124,Suhut,38.5311,30.5458,44.53,63,2,3.8,clear sky
125,Soria,41.6667,-2.6667,38.86,62,9,1.28,clear sky
126,Barrow,71.2906,-156.7887,21.22,86,90,0.0,overcast clouds
127,Ambilobe,-13.2,49.05,70.39,86,58,1.16,broken clouds
128,La Palma,33.8464,-118.0467,85.01,39,1,3.0,clear sky
129,Dongsheng,39.8161,109.9776,43.11,46,2,4.74,clear sky
130,Tual,-5.6667,132.75,83.88,74,10,9.35,clear sky
131,Salme,28.0369,85.0942,52.09,65,0,6.31,clear sky
132,Barabai,-2.5833,115.3833,86.13,64,98,1.57,light rain
133,Dikson,73.5069,80.5464,3.94,97,50,5.7,scattered clouds
134,Neryungri,56.6709,124.6491,28.8,94,100,4.23,light snow
135,San Cristobal,7.7669,-72.225,69.98,99,100,3.4,overcast clouds
136,Ixtapa,20.7,-105.2,81.63,78,20,2.3,few clouds
137,Kavaratti,10.5669,72.642,79.03,79,100,1.3,overcast clouds
138,Taoudenni,22.6783,-3.9836,85.28,18,100,15.41,overcast clouds
139,Puerto El Triunfo,13.2833,-88.55,78.96,79,49,1.97,scattered clouds
140,Nikolskoye,59.7035,30.7861,46.29,93,100,8.34,overcast clouds
141,Phangnga,8.4509,98.5298,84.9,87,99,3.74,overcast clouds
142,Saint-Augustin,51.226,-58.6502,38.21,78,6,2.48,clear sky
143,Punta Alta,-38.8759,-62.0736,71.51,44,45,8.84,scattered clouds
144,East London,-33.0153,27.9116,67.01,83,100,22.91,overcast clouds
145,Mucurapo,10.6667,-61.5333,78.26,86,100,7.05,overcast clouds
146,Tomatlan,19.9333,-105.25,78.66,82,100,5.73,overcast clouds
147,Marzuq,14.4,46.4667,67.98,42,0,4.21,clear sky
148,Pangnirtung,66.1451,-65.7125,25.09,85,99,2.93,overcast clouds
149,Fairbanks,64.8378,-147.7164,27.1,89,90,0.0,overcast clouds
150,Derzhavinsk,51.1,66.3167,30.61,46,53,13.51,broken clouds
151,Thompson,55.7435,-97.8558,41.16,100,90,2.3,mist
152,Bourail,-21.5667,165.4833,80.76,64,85,10.78,overcast clouds
153,Kaitangata,-46.2817,169.8464,63.79,65,15,8.23,few clouds
154,Itarema,-2.9248,-39.9167,80.01,81,73,14.92,broken clouds
155,Chilliwack,49.1747,-121.9443,53.64,87,100,1.14,overcast clouds
156,Kodiak,57.79,-152.4072,40.93,66,78,6.89,broken clouds
157,Avarua,-21.2078,-159.775,77.05,65,75,8.05,broken clouds
158,Hofn,64.2539,-15.2082,39.22,87,90,5.75,overcast clouds
159,Porto Santo,33.072,-16.3415,66.11,77,20,3.44,few clouds
160,Bulaevo,54.9056,70.4439,31.06,52,100,13.0,overcast clouds
161,Neiafu,-18.65,-173.9833,81.28,69,75,9.22,light rain
162,Provost,52.3501,-110.2683,41.45,48,0,8.81,clear sky
163,Sokoni,-6.4333,39.55,78.13,77,25,5.39,scattered clouds
164,Praia,14.9215,-23.5087,79.34,78,75,17.27,broken clouds
165,Washington,47.5001,-120.5015,49.91,65,21,4.59,few clouds
166,Yarmouth,41.7057,-70.2286,50.97,96,100,42.99,overcast clouds
167,Antofagasta,-23.65,-70.4,60.08,75,38,4.5,scattered clouds
168,Mayo,38.8876,-76.5119,63.55,86,1,1.01,clear sky
169,Sivaki,52.6333,126.75,38.07,57,30,6.96,scattered clouds
170,Arraial Do Cabo,-22.9661,-42.0278,72.21,91,100,15.5,overcast clouds
171,Dingle,10.9995,122.6711,82.36,81,100,10.74,overcast clouds
172,Sept-Iles,50.2001,-66.3821,28.83,100,1,2.3,clear sky
173,Astoria,46.1879,-123.8313,53.49,93,90,3.0,light rain
174,Talnakh,69.4865,88.3972,-8.34,99,97,5.46,overcast clouds
175,Wewak,-3.5534,143.6268,84.74,71,87,5.55,moderate rain
176,High Prairie,55.4334,-116.4858,47.5,47,18,15.66,few clouds
177,Shihezi,44.3,86.0333,47.07,39,2,2.08,clear sky
178,Cherskiy,68.75,161.3,-10.1,93,14,5.08,few clouds
179,Ancud,-41.8697,-73.8203,51.33,92,0,4.85,clear sky
180,Constitucion,-35.3333,-72.4167,54.9,81,11,11.92,few clouds
181,Kavieng,-2.5744,150.7967,85.75,68,23,9.91,light rain
182,Palmer,42.1584,-72.3287,52.41,78,100,7.9,overcast clouds
183,Meulaboh,4.1363,96.1285,77.07,85,100,3.42,overcast clouds
